name,rating,latitude,longitude,category
Frita Batidos,4.5,42.2803651,-83.7491532,restaurants
Aventura,4,42.28026,-83.746473,restaurants
Sava's,4,42.279605,-83.7409649,restaurants
Jolly Pumpkin Cafe and Brewery,4,42.27914,-83.74824,restaurants
Yee Siang Dumplings,4,42.2510406278461,-83.6641938239336,restaurants
Fresh Forage,4.5,42.28797,-83.8283,restaurants
Wolverine State Brewing Co,4.5,42.2695,-83.77436,restaurants
Mani Osteria & Bar,4,42.2795793749763,-83.744244702611,restaurants
eat,4,42.2585802,-83.7286638,restaurants
Tomukun Noodle Bar,4,42.2795599,-83.74278,restaurants
Dessous,4.5,42.27901,-83.74901,restaurants
The Lunch Room,4.5,42.2843231,-83.7460385,restaurants
Taste Kitchen,4,42.2795716828378,-83.7423401932133,restaurants
Isalita,4,42.2794618,-83.7444065,restaurants
Zingerman's Roadhouse,3.5,42.2804461,-83.7805119,restaurants
Tomukun Korean Barbeque,4,42.2795502,-83.7427918,restaurants
Zingerman's Delicatessen,4,42.2844740041972,-83.7452775306885,restaurants
Jim Brady’s,4,42.28011,-83.74819,restaurants
Poke Fish,4.5,42.25519,-83.69031,restaurants
KOSMO'S Bop Shop,4,42.2791380130444,-83.7500103937961,restaurants
Monahan's Seafood Market,4.5,42.2843246,-83.7460403,restaurants
Biercamp,4.5,42.25849,-83.73975,restaurants
Pacific Rim,4,42.27981,-83.74937,restaurants
Cardamom,4,42.298577940426,-83.7214592574346,restaurants
Dalat,4,42.25269,-83.75121,restaurants
Chela's,4.5,42.2736697,-83.7797882,restaurants
Spencer,4,42.2796619222548,-83.7478985264897,restaurants
Mikette Bistro and Bar,4,42.298362,-83.720938,restaurants
Seoul Street,3.5,42.298542390286,-83.71994671592,restaurants
Haymaker Public House,4,42.2805564228967,-83.7470998987556,restaurants
Anna's House,4,42.2446145,-83.74178617,restaurants
Juicy Kitchen,4.5,42.2959222,-83.7808651,restaurants
Aamani's Smokehouse & Pizza,4.5,42.2856484,-83.7815711,restaurants
Miss Kim,4,42.2845916111551,-83.7464769846905,restaurants
Bewon,4,42.3052176,-83.6920978,restaurants
Momo Sushi,4.5,42.24519215121,-83.7582424655557,restaurants
Ricewood,4.5,42.257678,-83.7281579,restaurants
The Standard Bistro & Larder,4,42.28918,-83.84439,restaurants
Blue LLama Jazz Club,5,42.279019,-83.749017,restaurants
